Cement,Slag,Ash,Water,Superplasticizer,CoarseAggregate,FineAggregate,Days,CompressiveStrength
305.3,203.5,0,203.5,0,965.4,631,M,43.37700359
252.1,97.1,75.6,193.8,8.3,835.5,821.4,M,33.39959639
401.8,94.7,0,147.4,11.4,946.8,852.1,M,68.4994406
500,0,0,200,0,1125,613,L,27.21189403
298,0,107,210,11,880,744,M,31.87447548
397,0,0,185,0,1040,734,M,39.0932892
144.8,0,133.6,180.8,11.1,979.5,811.5,M,13.20208645
388.6,97.1,0,157.9,12.1,852.1,925.7,L,31.49871106
290.2,193.5,0,185.7,0,998.2,704.3,M,33.0431373
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,M,39.1622368
312.9,160.5,0,177.6,9.6,916.6,759.5,M,52.44637089
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,M,24.24197616
167,75.4,167,164.03,7.91,1007.3,770.1,L,24.21094974
349,0,0,192,0,1047,806.9,L,15.04919265
316.1,210.7,0,185.7,0,977,689.3,M,38.70028788
167,75.4,167,164.03,7.91,1007.3,770.1,H,55.13739572
250,0,0,182,0,1100,820,L,12.73462172
296,0,0,192,0,1085,765,H,29.39236188
252.31,0,98.75,146.25,14.17,987.76,889.01,M,50.60064364
333,0,0,192,0,931.2,842.6,M,31.96686526
332.5,142.5,0,228,0,932,594,H,39.70588863
287.3,120.5,93.9,187.6,9.2,904.4,695.9,M,43.79827342
149,153,194,192,8,935,623,M,24.5798194
336.5,0,0,181.9,3.4,985.8,816.8,M,44.86834018
355.9,0,141.6,193.3,11,801.4,778.4,M,40.8686899
272.6,0,89.6,198.7,10.6,931.3,762.2,M,32.24541357
273,0,90,199,11,931,762,M,32.23989776
255.5,170.3,0,185.7,0,1026.6,724.3,M,32.05167081
155,183,0,193,9,1047,697,M,18.28490352
385,0,0,186,0,966,763,L,18.02807371
184,86,190,213,6,923,623,M,22.93197176
132,206.5,160.9,178.9,5.5,866.9,735.6,M,33.30651713
167,187,195,185,7,898,636,M,23.8903434
528,0,0,185,6.86,920,720,M,56.83350668
366,187,0,191,7,824,757,M,65.90701084
153,239,0,200,6,1002,684,M,26.8550902
288,192,0,192,0,932,717.8,L,19.81657445
505,0,60,195,0,1030,630,M,64.0178466
164,0,200,181,13,849,846,M,15.08573488
300,0,0,184,0,1075,795,M,26.84819544
393,0,0,192,0,940.6,785.6,M,39.60488039
144,0,175,158,18,943,844,M,15.41668336
181.9,272.8,0,185.7,0,1012.4,714.3,M,27.93549909
366,187,0,191.3,6.6,824.3,756.9,M,65.90907927
210.7,316.1,0,185.7,0,977,689.3,L,21.81984697
250,0,0,182,0,1100,820,M,20.87043852
289,133.7,0,194.9,5.5,924.1,760.1,M,46.24729218
290.2,193.5,0,185.7,0,998.2,704.3,L,21.8591471
141.3,212,0,203.5,0,971.8,748.5,H,39.6621069
313.3,262.2,0,175.5,8.6,1046.9,611.8,H,65.74843136
108.3,162.4,0,203.5,0,938.2,849,M,20.59395864
310,142.8,0,167.9,10,914.3,804,M,45.30477848
190.34,0,125.18,166.61,9.88,1079,798.9,M,24.84871504
149,118,92,183,7,953,780,M,23.51802636
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,H,36.7663077
387,20,94,157,11.61,938,845,L,38.21765468
236,157,0,192,0,972.6,749.1,L,16.99075707
250,180,95,159,9.45,860,800,M,67.86512268
284,15,141,179,5.46,842,801,L,18.76359686
405,0,0,175,0,1120,695,M,52.30364936
154.8,0,142.8,193.3,9.1,1047.4,696.7,M,12.4595208
298,0,107,186,6,879,815,M,42.63719584
375,93.8,0,126.6,23.4,852.1,992.6,H,61.34957448
239.6,359.4,0,185.7,0,941.6,664.3,L,25.42235907
374,189.2,0,170.1,10.1,926.1,756.7,M,61.09446836
144,136,106,178,7,941,774,M,26.14492992
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,M,37.81086384
229.97,0,118.31,195.47,4.63,1029.4,758.59,L,15.05815584
387,20,94,157,13.93,938,845,L,35.70451466
520,0,0,170,5.2,855,855,M,60.28088668
491,26,123,210,3.93,882,699,L,29.54897143
330.5,169.6,0,194.9,8.1,811,802.3,M,56.61907964
323.7,282.8,0,183.8,10.3,942.7,659.9,M,74.69782984
475,0,0,228,0,932,594,H,42.22885368
331,0,0,192,0,1025,821,L,15.87173752
181.9,272.8,0,185.7,0,1012.4,714.3,L,12.37264682
212.57,0,100.39,159.35,10.37,1003.8,903.79,M,37.404073
261.9,110.5,86.1,195.4,5,895.2,732.6,M,33.71882378
116,173,0,192,0,909.8,891.9,M,22.34798559
375,0,0,186,0,1038,758,M,38.21075992
173,116,0,192,0,946.8,856.8,L,9.16658342
183.9,122.6,0,203.5,0,959.2,800,L,7.845547404
146,173,0,182,3,986,817,M,23.73865868
157,214,152,200,9,819,704,M,33.05347944
200,0,0,180,0,1125,845,L,7.83934212
485,0,0,146,0,1120,800,M,71.98818916
193.5,290.2,0,185.7,0,998.2,704.3,M,32.6266938
321.3,164.2,0,190.5,4.6,870,774,M,57.21823429
385,0,0,186,0,966,763,M,31.35047372
425,106.3,0,151.4,18.6,936,803.7,L,41.55127114
326,0,138,199,11,801,792,M,40.679084
296,0,0,192,0,1085,765,L,14.2032056
202,11,141,206,1.72,942,801,L,12.45981629
491,26,123,201,3.93,822,699,L,33.73507572
331,0,0,192,0,879,825,L,13.52062436
166,259.7,0,183.2,12.7,858.8,826.8,M,37.91704314
475,0,0,228,0,932,594,L,38.60376124
162,190.1,148.1,178.8,18.8,838.1,741.4,M,33.76226077
355,19,97,145,13.13,967,871,M,44.02993736
152,178,139,168,18,944,695,M,36.34917472
339,0,0,197,0,968,781,H,36.83640443
289,0,0,192,0,913.2,895.3,M,25.57335432
200,133,0,192,0,965.4,806.2,L,14.29007958
298,137,107,201,6,878,655,M,53.52402188
314,145,113,179,8,869,690,M,46.2293658
139.6,209.4,0,192,0,1047,806.9,L,11.32636699
520,0,0,175,5.2,870,805,M,51.021224
153,145,0,178,8,1000,822,M,19.00885332
132,207,161,179,5,867,736,M,33.3016908
290.35,0,96.18,168.08,9.41,961.18,865,L,28.58912234
387,20,94,157,14.32,938,845,M,50.23522136
310,0,0,192,0,970,850,M,27.923778
382,0,0,185,0,1047,739,L,24.00065956
134.7,0,165.7,180.2,10,961,804.9,M,13.29378676
275,0,0,183,0,1088,808,M,24.49708228
229.68,0,118.16,195.23,6.13,1028.1,757.63,M,24.53845084
154.8,0,142.8,193.3,9.1,877.2,867.7,M,9.738159024
266,114,0,228,0,932,670,H,50.09163798
213.5,0,174.24,159.21,11.66,1043.6,771.9,H,52.1071487
290.35,0,96.18,168.08,9.41,961.18,865,M,34.73580088
233.81,0,94.58,197.89,4.567,947.04,852.16,M,22.83544512
133,200,0,192,0,927.4,839.2,H,36.58842289
446,24,79,162,10.3,967,712,M,53.38612668
331,0,0,192,0,1025,821,M,31.74347504
166,260,0,183,13,859,827,M,37.91428524
158.8,238.2,0,185.7,0,1040.6,734.3,M,21.0662497
155,184,143,194,9,880,699,M,28.98557104
276,116,90,180,9,870,768,M,44.27814872
250,0,95.69,191.84,5.33,948.9,857.2,L,16.57155566
153,102,0,192,0,888,943.1,H,26.32281473
153.6,144.2,112.3,220.1,10.1,923.2,657.9,M,16.50398701
155,0,143,193,9,877,868,M,9.73540112
446,24,79,162,11.61,967,712,L,43.68519936
229.68,0,118.16,195.23,6.13,1028.1,757.63,L,17.83674412
480,0,0,192,0,936.2,712.2,L,29.48716483
190,190,0,228,0,932,670,M,40.85696881
356,119,0,160,9.03,1061,657,M,58.99846132
147,115,89,202,9,860,829,M,19.98790924
323.7,282.8,0,183.8,10.3,942.7,659.9,H,80.19984832
146.5,114.6,89.3,201.9,8.8,860,829.5,M,19.98790924
252,0,0,185,0,1111,784,L,13.71367764
265,111,86,195,6,833,790,M,41.540929
255,99,77,189,6,919,749,M,33.79811352
397,0,0,186,0,1040,734,M,36.93522932
342,38,0,228,0,932,670,H,53.44749004
166.09,0,163.27,176.46,4.49,1058.6,780.09,H,31.08502546
480,0,0,192,0,936,721,L,24.39366088
491,26,123,201,3.93,822,699,H,61.85584685
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,M,41.20308576
166.8,250.2,0,203.5,0,975.6,692.6,H,43.56523054
288,192,0,192,0,932,717.8,H,50.52686971
350,0,0,203,0,974,775,H,31.35047372
144,15,195,176,6,1021,709,M,15.340841
108.3,162.4,0,203.5,0,938.2,849,H,29.23171397
166.8,250.2,0,203.5,0,975.6,692.6,L,11.32533278
277,0,0,191,0,968,856,H,32.42835453
300,0,0,184,0,1075,795,L,15.57526284
313.3,145,0,178.5,8,867.2,824,M,40.92522693
349,0,0,192,0,1047,806,H,40.88822505
102,153,0,192,0,887,942,L,6.120478452
387,20,94,157,14.32,938,845,H,56.33708396
133.1,210.2,0,195.7,3.1,949.4,795.3,M,28.9379972
159.1,186.7,0,175.6,11.3,989.6,788.9,M,32.76803638
427.5,47.5,0,228,0,932,594,H,42.52274282
313,0,0,178,8,1000,822,M,25.0969264
326.5,0,137.9,199,10.8,801.1,792.5,M,38.6306508
446,24,79,162,11.64,967,712,L,31.42114501
264.5,111,86.5,195.5,5.9,832.6,790.4,M,41.54230795
272.8,181.9,0,185.7,0,1012.4,714.3,M,31.38150014
212.52,0,100.37,159.32,8.71,1007.8,903.59,M,31.64005364
148.1,0,136.6,158.1,16.1,1001.8,830.1,M,17.95947085
374,189.2,0,170.1,10.1,926.1,756.7,H,64.14884704
439,177,0,186,11.1,884.9,707.9,H,72.4984014
140,164,128,237,6,869,656,M,35.22532884
397,17.2,158,167,20.8,967,633,M,55.64760796
305.3,203.5,0,203.5,0,965.4,631,H,54.59891496
222.36,0,96.67,189.29,4.46,967.08,870.32,M,24.8900836
322,0,0,203,0,974,800,H,29.58541516
233.81,0,94.58,197.89,4.567,947.04,852.16,L,16.26129146
284,119.7,0,168.3,7.2,970.4,794.2,M,40.9348796
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,L,25.52095414
331,0,0,192,0,978,825,L,14.8926816
317.9,0,126.5,209.7,5.7,860.5,736.6,M,40.06200298
540,0,0,173,0,1125,613,L,51.33838296
246.83,0,125.08,143.3,11.99,1086.8,800.89,M,52.5035974
500,0,0,140,4,966,853,M,67.568648
237.5,237.5,0,228,0,932,594,H,36.69305088
140,133,103,200,7,916,753,M,36.4388066
322,149,0,186,8,951,709,M,52.42086028
350,0,0,186,0,1050,770,M,34.29453624
259.9,100.6,78.4,170.6,10.4,935.7,762.9,M,49.77327244
379.5,151.2,0,153.9,15.9,1134.3,605,L,37.84878502
307,0,0,193,0,968,812,M,27.53077668
218.85,0,124.13,158.49,11.33,1078.7,794.91,L,20.69462214
424,22,132,168,8.92,822,750,L,36.19749
333,0,0,192,0,931.2,842.6,L,19.51044711
297.16,0,117.54,174.8,9.52,1022.8,753.45,M,47.401475
252,97,76,194,8,835,821,M,33.39821744
424,22,132,178,8.48,882,750,L,32.01138572
154.8,183.4,0,193.3,9.1,877.2,867.7,M,23.786922
322,0,0,203,0,974,800,L,20.77391188
331,0,0,192,0,978,825,M,31.44700036
376,0,0,214.6,0,1003.5,762.36,M,31.97100212
148.1,0,182.1,181.4,15,838.9,884.3,M,15.52631004
228,342.1,0,185.7,0,955.8,674.3,M,39.6993386
375,93.8,0,126.6,23.4,852.1,992.6,L,37.34891492
252,0,0,186,0,1111,784,L,11.46598588
166.8,250.2,0,203.5,0,975.6,692.6,M,33.94772981
238.05,0,94.11,186.66,7,949.91,847.01,L,22.81131346
165,128.5,132.1,175.06,8.08,1005.8,746.6,L,26.2517987
153,145,113,178,8,1002,689,M,25.55887532
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,M,45.70536404
275.07,0,121.35,159.48,9.9,1053.6,777.5,L,31.2849735
200,0,0,180,0,1125,845,M,12.24509376
181.38,0,167.01,169.59,7.56,1055.6,777.8,H,40.46879382
385,0,136,158,20,903,768,M,55.55108132
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,H,66.88606676
116,173,0,192,0,909.8,891.9,L,8.185114334
145,0,179,202,8,824,869,M,10.53519328
425,106.3,0,151.4,18.6,936,803.7,H,65.80014206
380,95,0,228,0,932,594,H,41.54299743
295.71,0,95.64,171.54,8.87,955.14,859.2,M,39.94134468
305.3,203.5,0,203.5,0,965.4,631,L,20.01893566
313.3,262.2,0,175.5,8.6,1046.9,611.8,M,59.79825348
151.8,178.1,138.7,167.5,18.3,944,694.6,M,36.3498642
231.75,0,121.62,173.96,6.72,1056.4,778.45,H,44.26780658
252.5,0,0,185.7,0,1111.6,784.3,M,19.76520849
296,0,107,221,11,819,778,M,31.41942132
359,19,141,154,10.91,942,801,L,30.78017857
150,237,0,174,12,1069,675,M,37.43165204
162,207,172,216,10,822,638,M,39.84481804
389.9,189,0,145.9,22,944.7,755.8,H,80.99964048
167,75.4,167,164.03,7.91,1007.3,770.1,M,41.40992856
151,0,185,167,16,1074,678,M,13.45857152
339,0,0,197,0,968,781,L,20.41078785
288,121,0,177,7,908,829,M,42.13387836
339,0,0,197,0,968,781,M,32.03994972
290.35,0,96.18,168.08,9.41,961.18,865,H,47.02915796
153,145,113,178,8,867,824,M,26.22766704
150,236.8,0,173.8,11.9,1069.3,674.8,M,37.43165204
102,153,0,192,0,887,942,H,25.46096973
157,236,0,192,0,935.4,781.2,L,13.29206307
355,19,97,145,12.25,967,871,M,55.45455468
210.7,316.1,0,185.7,0,977,689.3,M,37.81362174
249.1,0,98.75,158.11,12.8,987.76,889.01,H,46.54307738
382,0,0,186,0,1047,739,M,37.42475728
273,105,82,210,9,904,680,M,37.16965116
289,0,0,192,0,913.2,895.3,H,32.06821824
350,0,0,203,0,974,775,M,27.3377234
186.2,124.1,0,185.7,0,1083.4,764.3,L,7.995853172
212,141.3,0,203.5,0,973.4,750,H,39.70002808
203.5,305.3,0,203.5,0,963.4,630,M,41.68434001
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,H,49.29063924
297,0,0,186,0,1040,734,L,30.9574724
289,134,0,195,6,924,760,M,46.24315532
194.68,0,100.52,170.17,7.48,998,901.8,M,37.2661778
359,19,141,154,10.91,942,801,H,67.76564114
229.97,0,118.31,195.47,4.63,1029.4,758.59,H,33.439586
362.6,189,0,164.9,11.6,944.7,755.8,H,78.29689456
313.8,0,112.6,169.9,10.1,925.3,782.9,M,38.46103971
322,0,116,196,10,818,813,M,31.17810472
381.4,0,0,185.7,0,1104.6,784.3,M,22.48932817
339.2,0,0,185.7,0,1069.2,754.3,M,31.89998609
310,0,0,192,0,971,850.6,L,9.86640156
325.6,166.4,0,174,8.9,881.6,790,M,61.23581094
237.5,237.5,0,228,0,932,594,M,30.07976945
218.85,0,124.13,158.49,11.33,1078.7,794.91,M,30.21973308
143,169.4,142.7,190.7,8.4,967.4,643.5,M,29.72606826
190.34,0,125.18,166.61,9.88,1079,798.9,H,32.63979384
295,0,0,185,0,1069,769,L,14.79615496
135.7,203.5,0,185.7,0,1076.2,759.3,M,18.19871902
310,0,0,192,0,1012,830,L,14.5479436
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,L,23.37668378
192,288,0,192,0,929.8,716.1,M,39.32150576
302,0,0,203,0,974,817,M,21.7529678
393,0,0,192,0,940,758,M,39.58281716
252.5,0,0,185.7,0,1111.6,784.3,L,11.48391226
147.8,175.1,0,171.2,2.2,1000,828.5,M,26.92265885
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,M,31.11605188
349,0,0,192,0,1056,809,M,33.60506024
314,0,113,170,10,925,783,M,38.45897128
146,230,0,202,3,827,872,M,33.0603742
516,0,0,162,8.26,801,802,M,41.36856
190.68,0,125.4,162.14,7.77,1090,804.01,M,26.40003604
139.9,132.6,103.3,200.3,7.4,916,753.4,M,36.44363293
153,102,0,192,0,888,943.1,L,6.578290516
281,0,0,186,0,1104,774,M,22.43554904
303.6,139.9,0,213.5,6.2,895.5,722.5,M,33.4195912
424,22,132,168,8.92,822,750,M,72.09850532
218.85,0,124.13,158.49,11.33,1078.7,794.91,H,41.7477718
154,174,185,228,7,845,612,M,24.3385028
298.1,0,107,186.4,6.1,879,815.2,M,42.6440906
379.5,151.2,0,153.9,15.9,1134.3,605,H,55.69587128
238,0,0,186,0,1119,789,L,12.05204048
337.9,189,0,174.9,9.5,944.7,755.8,M,49.89737812
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,L,22.6837604
296,0,0,186,0,1090,769,L,18.91232668
525,0,0,189,0,1125,613,M,55.94408264
250.2,166.8,0,203.5,0,977.6,694.1,L,14.5407041
203.5,135.7,0,185.7,0,1076.2,759.3,M,22.62998127
382,0,0,186,0,1111,784,L,11.46598588
397,0,0,185.7,0,1040.6,734.3,M,33.08243743
139.6,209.4,0,192,0,1047,806.9,H,42.75463659
424,22,132,178,8.48,822,750,M,62.05284
387,20,94,157,14.32,938,845,L,29.79570534
286.3,200.9,0,144.7,11.2,1004.6,803.7,L,31.198789
382.5,0,0,185.7,0,1047.8,739.3,M,37.43785732
380,95,0,228,0,932,594,M,36.44776979
374,189.2,0,170.1,10.1,926.1,756.7,L,40.2998722
236,157,0,192,0,972.6,749.1,H,47.78206575
255,0,0,192,0,889.8,945,H,21.8591471
135,105,193,196,6,965,643,M,21.91154728
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,H,52.33812316
183.9,122.6,0,203.5,0,959.2,800,H,32.53292506
158.6,148.9,116,175.1,15,953.3,719.7,M,27.68108245
252.31,0,98.75,146.25,14.17,987.76,889.01,H,58.38827506
540,0,0,173,0,1125,613,M,67.30664712
236,0,0,194,0,968,885,L,9.652664
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,L,28.04098892
315,137,0,145,5.9,1130,745,M,81.75116932
150.9,0,183.9,166.6,11.6,991.2,772.2,M,15.56974703
475,118.8,0,181.1,8.9,852.1,781.5,H,73.24648286
250.2,166.8,0,203.5,0,977.6,694.1,M,36.96418731
251.81,0,99.94,146.14,12.35,1006,899.76,L,27.18948606
475,118.8,0,181.1,8.9,852.1,781.5,M,68.29949256
255,0,0,192,0,889.8,945,M,18.74616296
213.5,0,174.24,154.61,11.66,1052.3,775.48,H,55.36837018
379.5,151.2,0,153.9,15.9,1134.3,605,M,52.20022796
173,116,0,192,0,946.8,856.8,H,32.10269204
436,0,0,218,0,838.4,719.7,M,23.84897484
154,144,112,220,10,923,658,M,16.49916068
339.2,0,0,185.7,0,1069.2,754.3,L,21.17932377
318,0,126,210,6,861,737,M,40.0585556
382,0,0,186,0,1047,739,L,24.00065956
145,0,134,181,11,979,812,M,13.19657064
298.2,0,107,209.7,11.1,879.6,744.2,M,31.87516496
475,0,0,228,0,932,594,M,39.28978986
321.4,0,127.9,182.5,11.5,870.1,779.7,M,37.26548832
149.5,236,0,175.8,12.6,846.8,892.7,M,32.96384756
194.68,0,100.52,165.62,7.48,1006.4,905.9,H,35.65280396
212.57,0,100.39,159.35,10.37,1003.8,903.79,L,19.35359132
212.57,0,100.39,159.35,10.37,1003.8,903.79,H,46.06733894
250,0,95.69,187.42,5.53,956.86,861.17,M,29.21999288
313,145,0,178,8,867,824,M,44.38846488
260.9,100.5,78.3,200.6,8.6,864.5,761.5,M,32.40123514
148,175,0,171,2,1000,828,M,26.91714304
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,M,55.50971276
212,0,124.78,159,7.84,1085.4,799.54,M,38.50033984
285,190,0,163,7.6,1031,685,M,53.57917996
252,0,0,185,0,1111,784,M,19.69143456
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,L,14.4100484
401.8,94.7,0,147.4,11.4,946.8,852.1,H,74.59785582
152.7,144.7,0,178.1,8,999.7,822.2,M,19.0095428
446,24,79,162,11.61,967,712,M,57.02655996
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,L,28.30988456
316.1,210.7,0,185.7,0,977,689.3,L,24.43778734
304,76,0,228,0,932,670,M,47.81378165
531.3,0,0,141.8,28.2,852.1,893.7,H,58.99846132
339,0,0,185,0,1069,754,M,31.84000168
193.5,290.2,0,185.7,0,998.2,704.3,L,17.20035777
151.6,0,111.9,184.4,7.9,992,815.9,M,12.18097249
170.3,155.5,0,185.7,0,1026.6,724.3,M,25.72641799
145.7,172.6,0,181.9,3.4,985.8,816.8,M,23.74417449
480,0,0,192,0,936.2,712.2,M,43.94237391
238,0,0,185,0,1118,789,M,17.54026944
289,0,0,192,0,913.2,895.3,L,13.12589935
318.8,212.5,0,155.7,14.3,852.1,880.4,L,29.29928262
139.7,163.9,127.7,236.7,5.8,868.6,655.6,M,35.22532884
148.5,139.4,108.6,192.7,6.1,892.4,780,M,23.69660064
286.3,200.9,0,144.7,11.2,1004.6,803.7,M,67.69964844
307,0,0,193,0,968,812,L,12.54156844
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,L,31.68831696
295.71,0,95.64,171.54,8.87,955.14,859.2,L,29.08899244
400,0,0,187,0,1025,745,L,30.14389072
337.9,189,0,174.9,9.5,944.7,755.8,L,29.59920468
388.6,97.1,0,157.9,12.1,852.1,925.7,M,50.69717028
116,173,0,192,0,909.8,891.9,H,31.0236621
102,153,0,192,0,887,942,M,17.27551066
480,0,0,192,0,936,721,H,54.27555072
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,M,52.20022796
155,0,143,193,9,1047,697,M,12.45883132
298,0,107,164,13,953,784,M,35.85964676
332.5,142.5,0,228,0,932,594,M,33.01900564
213.76,98.06,24.52,181.74,6.65,1066,785.52,H,48.55289992
166.09,0,163.27,176.46,4.49,1058.6,780.09,L,18.12287666
322,0,0,203,0,974,800,M,25.17966352
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,H,62.7595529
173,116,0,192,0,946.8,856.8,M,24.28196577
349,0,0,192,0,1056,809,L,12.44159442
203.5,305.3,0,203.5,0,963.4,630,H,51.86376367
475,0,59,142,1.9,1098,641,M,57.226508
246.83,0,125.08,143.3,11.99,1086.8,800.89,H,63.37318654
300,0,120,212,10,878,728,M,23.83518532
145.4,0,178.9,201.7,7.8,824,868.7,M,10.53588276
190.34,0,125.18,161.85,9.88,1088.1,802.59,L,16.0820277
148,0,137,158,16,1002,830,M,17.95395504
314,145.3,113.2,178.9,8,869.1,690.2,M,46.23419213
158,0,195,220,11,898,713,M,8.53571288
349,0,0,192,0,1056,809,H,40.75837374
212.52,0,100.37,159.32,8.71,1007.8,903.59,L,19.9258564
238.05,0,94.11,186.66,7,949.91,847.01,M,30.2335226
491,26,123,210,3.93,882,699,M,55.55108132
288,192,0,192,0,932,717.8,M,38.80439876
